"Pre","In_p","Post","Classifier","Mean.Difference","Disparate.Impact","Theil.Index","Average.Odds.Difference","Equal.Opportunity.Difference","Accuracy","Precision","Recall","Dataset","Sens_Attr","Valid","Time","Failed","Orig.Mean.Difference","Orig.Disparate.Impact","AUC","Orig.Theil","Orig.Av.Odds","Orig.Eq.Opp.Diff","Ovr_Rank","Combo"
"-","-","eop1","Naive Bayes",-0.0433959194298917,0.850478187261047,0.126369973110715,0.0191487902395311,0.0354189122978932,0.794007076514817,0.573540856031128,0.657742079428826,"Adult","Race","Valid",0.13,"",-0.104111483518271,0.603141919758867,0.896225042591192,0.0924447180144809,-0.12270491851866,-0.132057814796668,42,"-+-+eop1+Naive Bayes"
"di1","-","eop2","Naive Bayes",-0.0619594220819368,0.838294430124969,0.101086941235479,0.00659052874188604,0.0236207741303284,0.768465280849182,0.521700620017715,0.788487282463186,"Adult","Race","Valid",4.03,"",-0.104111483518271,0.603141919758867,0.894724536508193,0.0924447180144809,-0.12270491851866,-0.132057814796668,56,"di1+-+eop2+Naive Bayes"
"-","egr_fp1","eop2","-",-0.0464831928671374,0.743153948504028,0.144282898616147,0.00726761793087544,0.0161366976972073,0.835581601061477,0.738910012674271,0.520303435966087,"Adult","Race","Valid",89.2,"",-0.104111483518271,0.603141919758867,0.781549835974797,0.129656738196464,0.023372121648678,0.0519524742773151,46,"-+egr_fp1+eop2+-"
"rw1","egr_fp2","-","-",-0.0443957241873027,0.760306221945028,0.142198521712638,0.011242936212611,0.0218275355218031,0.835913312693498,0.733786287831995,0.530120481927711,"Adult","Race","Valid",92.37,"",-0.104111483518271,0.603141919758867,0.781549835974797,0.129656738196464,0.023372121648678,0.0519524742773151,45,"rw1+egr_fp2+-+-"
"-","egr_fp1","-","-",-0.0431392567765449,0.770435418795131,0.13939007469685,0.0212598934480724,0.0434982851543361,0.83812472357364,0.736170212765957,0.540383757251227,"Adult","Race","Valid",82.93,"",-0.104111483518271,0.603141919758867,0.781549835974797,0.129656738196464,0.023372121648678,0.0519524742773151,31,"-+egr_fp1+-+-"
"di1","-","eop2","Random Forest",-0.0402744785395854,0.818776493326793,0.134676409658695,0.0244639251279116,0.0453821656050956,0.824856258292791,0.667687595712098,0.583668005354752,"Adult","Race","Valid",6.53,"",-0.104111483518271,0.603141919758867,0.891346921978341,0.121273114279318,-0.0163907446817052,0.0102057814796669,26,"di1+-+eop2+Random Forest"
"rw1","-","roc2","Random Forest",-0.00708486544531584,0.98130249214228,0.0873441520459244,0.0820401408657293,0.120404213620774,0.788257408226449,0.547688706846109,0.835341365461847,"Adult","Race","Valid",21.24,"",-0.104111483518271,0.603141919758867,0.894805281524287,0.121273114279318,-0.0163907446817052,0.0102057814796669,37,"rw1+-+roc2+Random Forest"
"rw1","gsr_eo2","cpp3","-",-0.0513874426474895,0.722365066807314,0.141987734092221,0.0225741004906481,0.0607471827535522,0.836797877045555,0.737725295214419,0.529674252565819,"Adult","Race","Valid",17.55,"",-0.104111483518271,0.603141919758867,0.884626457222884,0.129656738196464,0.023372121648678,0.0519524742773151,49,"rw1+gsr_eo2+cpp3+-"
"rw1","-","eop2","Random Forest",-0.0336325697178745,0.834913948009424,0.135717484007685,0.047214632753787,0.0924301812836845,0.83359133126935,0.704444444444444,0.565818830879072,"Adult","Race","Valid",3.08,"",-0.104111483518271,0.603141919758867,0.895655465542245,0.121273114279318,-0.0163907446817052,0.0102057814796669,23,"rw1+-+eop2+Random Forest"
"rw1","-","eop2","Logistic Regression",-0.0404379942078032,0.793157399778627,0.140715095245591,0.0253416694822279,0.0505585497305242,0.831932773109244,0.709959231217239,0.543953592146363,"Adult","Race","Valid",0.33,"",-0.104111483518271,0.603141919758867,0.881592058206203,0.129656738196464,0.023372121648678,0.0519524742773151,2,"rw1+-+eop2+Logistic Regression"
"-","-","roc1","Random Forest",-0.00397400019524258,0.990246775546061,0.0828447082122887,0.0799869450845727,0.110516903478687,0.773662096417514,0.526358695652174,0.864346273984828,"Adult","Race","Valid",19.35,"",-0.104111483518271,0.603141919758867,0.894694855663528,0.121273114279318,-0.0163907446817052,0.0102057814796669,29,"-+-+roc1+Random Forest"
"rw1","-","-","Logistic Regression",0.0123181803390713,1.06816176602985,0.137608265739984,0.111984057216804,0.185847623713866,0.840225563909774,0.741212121212121,0.545738509593931,"Adult","Race","Valid",0.28,"",-0.104111483518271,0.603141919758867,0.881592058206203,0.129656738196464,0.023372121648678,0.0519524742773151,14,"rw1+-+-+Logistic Regression"
"-","-","eop1","Random Forest",-0.0352636588461163,0.829595487066593,0.136492304651198,0.0436306178654521,0.0864502694757472,0.830827067669173,0.694581280788177,0.566265060240964,"Adult","Race","Valid",2.75,"",-0.104111483518271,0.603141919758867,0.894948963049677,0.121273114279318,-0.0163907446817052,0.0102057814796669,13,"-+-+eop1+Random Forest"
"di1","-","eop2","Logistic Regression",-0.0317745110800169,0.785411722046413,0.1657709060713,0.018597833826718,0.0338388045075944,0.82375055285272,0.749037721324095,0.434181169120928,"Adult","Race","Valid",4.17,"",-0.104111483518271,0.603141919758867,0.871177590955719,0.129656738196464,0.023372121648678,0.0519524742773151,5,"di1+-+eop2+Logistic Regression"
"di1","-","roc2","Random Forest",-0.0268194168754678,0.933123377150276,0.0855065527623102,0.0585639497563019,0.0922758451739344,0.776647501105705,0.530754244364041,0.850959393128068,"Adult","Race","Valid",24.59,"",-0.104111483518271,0.603141919758867,0.890977961202118,0.121273114279318,-0.0163907446817052,0.0102057814796669,44,"di1+-+roc2+Random Forest"
"-","gsr_eo1","cpp2","-",-0.0512589079431193,0.722867057819688,0.14260934496841,0.023292642722004,0.0627070063694267,0.836023883237506,0.735696517412935,0.527889335118251,"Adult","Race","Valid",16.44,"",-0.104111483518271,0.603141919758867,0.881359498129385,0.129656738196464,0.023372121648678,0.0519524742773151,50,"-+gsr_eo1+cpp2+-"
"rw1","pr2","cpp3","-",-0.0525174091308451,0.694629713723487,0.149003015695615,0.0143604831333653,0.0456344928956394,0.834586466165414,0.750167897918066,0.498438197233378,"Adult","Race","Valid",30.47,"",-0.104111483518271,0.603141919758867,0.870677837683889,0.129656738196464,0.023372121648678,0.0519524742773151,65,"rw1+pr2+cpp3+-"
"rw1","egr_fp2","eop3","-",-0.0502615437180697,0.71705151220942,0.14875354521322,-0.00448709542201123,-0.00514453699167072,0.83171163202123,0.73298768632534,0.504685408299866,"Adult","Race","Valid",94.52,"",-0.104111483518271,0.603141919758867,0.781549835974797,0.129656738196464,0.023372121648678,0.0519524742773151,36,"rw1+egr_fp2+eop3+-"
"di1","-","-","Random Forest",-0.101296736194722,0.584341451690434,0.119117635277836,-0.0373738839197102,-0.0258623223909848,0.839119858469704,0.689306358381503,0.63855421686747,"Adult","Race","Valid",6.52,"",-0.104111483518271,0.603141919758867,0.889820506649723,0.121273114279318,-0.0163907446817052,0.0102057814796669,48,"di1+-+-+Random Forest"
"-","-","roc1","Logistic Regression",-0.0359217890729231,0.890959220059562,0.103851080760238,0.0480986099919031,0.0852670259676629,0.800641309155241,0.574642126789366,0.752342704149933,"Adult","Race","Valid",16.84,"",-0.104111483518271,0.603141919758867,0.878083224826069,0.129656738196464,0.023372121648678,0.0519524742773151,25,"-+-+roc1+Logistic Regression"
"di1","-","cpp2","Logistic Regression",-0.031665907389932,0.784837764634349,0.164929919347368,0.024827996923954,0.0488388045075943,0.825298540468819,0.756003098373354,0.435519857206604,"Adult","Race","Valid",4.22,"",-0.104111483518271,0.603141919758867,0.867526027149085,0.129656738196464,0.023372121648678,0.0519524742773151,64,"di1+-+cpp2+Logistic Regression"
"rw1","-","-","Naive Bayes",-0.128416338550649,0.607280222514131,0.0956708101297804,-0.0537326124001432,-0.0361905928466438,0.82375055285272,0.615742397137746,0.767960731816154,"Adult","Race","Valid",0.13,"",-0.104111483518271,0.603141919758867,0.896324547212975,0.0924447180144809,-0.12270491851866,-0.132057814796668,32,"rw1+-+-+Naive Bayes"
"-","pr1","-","-",-0.185141883464006,0.297658277903958,0.122626460171276,-0.0829995243602515,-0.0864896992704648,0.849181777974348,0.738444806960305,0.605979473449353,"Adult","Sex","Valid",65.91,"",-0.202697122238061,0.353995587433556,0.905530561332661,0.129656738196464,-0.0865211907152169,-0.0793908717034311,34,"-+pr1+-+-"
"di1","egr_fp2","eop3","-",-0.0397644072760405,0.802321349132527,0.141739817309566,0.0244783737229902,0.0481087702106811,0.827288810260946,0.691916336913511,0.546184738955823,"Adult","Race","Valid",79.85,"",-0.104111483518271,0.603141919758867,0.791055446244776,0.129656738196464,0.023372121648678,0.0519524742773151,41,"di1+egr_fp2+eop3+-"
"rw1","egr_fp2","cpp3","-",-0.0237414988122742,0.854330551451503,0.147387809013556,0.0520564511773153,0.0955340519353258,0.839340999557718,0.772853185595568,0.497991967871486,"Adult","Race","Valid",94.06,"",-0.104111483518271,0.603141919758867,0.778849895802197,0.129656738196464,0.023372121648678,0.0519524742773151,60,"rw1+egr_fp2+cpp3+-"
"rw1","pr2","-","-",-0.185141883464006,0.297658277903958,0.122626460171276,-0.0829995243602515,-0.0864896992704648,0.849181777974348,0.738444806960305,0.605979473449353,"Adult","Sex","Valid",65.75,"",-0.202697122238061,0.353995587433556,0.905530561332661,0.129656738196464,-0.0865211907152169,-0.0793908717034311,34,"rw1+pr2+-+-"
"di1","gsr_eo2","cpp3","-",-0.0549555009599427,0.718158340495482,0.140048287991244,0.0256711653732641,0.0730083292503675,0.834254754533392,0.71900826446281,0.543507362784471,"Adult","Race","Valid",25.41,"",-0.104111483518271,0.603141919758867,0.878133239509068,0.129656738196464,0.023372121648678,0.0519524742773151,55,"di1+gsr_eo2+cpp3+-"
"-","gsr_eo1","-","-",-0.179193023877406,0.308178831865713,0.124978894689957,-0.0716157216183251,-0.0652986684305887,0.847412649270234,0.737190082644628,0.597054886211513,"Adult","Sex","Valid",15.85,"",-0.202697122238061,0.353995587433556,0.902567330750149,0.129656738196464,-0.0865211907152169,-0.0793908717034311,10,"-+gsr_eo1+-+-"
"rw1","-","-","Naive Bayes",-0.170012250534569,0.492127948941788,0.108536067900811,-0.00927564212447627,0.0588277587644876,0.82375055285272,0.62801741195093,0.708165997322624,"Adult","Sex","Valid",0.11,"",-0.202697122238061,0.353995587433556,0.892455017778006,0.0924447180144809,-0.217251040530766,-0.216334493303807,32,"rw1+-+-+Naive Bayes"
"rw1","gsr_eo2","-","-",-0.179193023877406,0.308178831865713,0.124978894689957,-0.0716157216183251,-0.0652986684305887,0.847412649270234,0.737190082644628,0.597054886211513,"Adult","Sex","Valid",16.22,"",-0.202697122238061,0.353995587433556,0.902567330750149,0.129656738196464,-0.0865211907152169,-0.0793908717034311,10,"rw1+gsr_eo2+-+-"
"-","pr1","roc2","-",-0.0511366268709907,0.866007979418796,0.0952483691302092,0.104088004955341,0.152157449215342,0.785050862450243,0.544986367767343,0.802766622043731,"Adult","Sex","Valid",82.73,"",-0.202697122238061,0.353995587433556,0.905530561332661,0.129656738196464,-0.0865211907152169,-0.0793908717034311,18,"-+pr1+roc2+-"
"di1","egr_fp2","-","-",-0.0860808304318115,0.617964141038509,0.125917969434001,-0.0304292240939445,-0.0280352768250858,0.839009287925697,0.703473302229134,0.605533244087461,"Adult","Race","Valid",79.58,"",-0.104111483518271,0.603141919758867,0.791055446244776,0.129656738196464,0.023372121648678,0.0519524742773151,51,"di1+egr_fp2+-+-"
"rw1","pr2","roc3","-",-0.0511366268709907,0.866007979418796,0.0952483691302092,0.104088004955341,0.152157449215342,0.785050862450243,0.544986367767343,0.802766622043731,"Adult","Sex","Valid",82.73,"",-0.202697122238061,0.353995587433556,0.905530561332661,0.129656738196464,-0.0865211907152169,-0.0793908717034311,18,"rw1+pr2+roc3+-"
"rw1","-","eop2","Random Forest",-0.0841709729151817,0.652844533615545,0.140560548820928,0.0167046254318982,0.0249825045775695,0.817558602388324,0.651928020565553,0.565818830879072,"Adult","Sex","Valid",2.84,"",-0.202697122238061,0.353995587433556,0.894648612579575,0.121549505885241,-0.0775511014223577,-0.0673262201259671,23,"rw1+-+eop2+Random Forest"
"di1","-","roc2","Logistic Regression",-0.0194103673814715,0.94625884048831,0.102177162026472,0.0684418827430026,0.113219010289074,0.77874834144184,0.537014188772363,0.776885319053994,"Adult","Race","Valid",20.74,"",-0.104111483518271,0.603141919758867,0.871177590955719,0.129656738196464,0.023372121648678,0.0519524742773151,28,"di1+-+roc2+Logistic Regression"
"-","pr1","eop2","-",-0.084189460085531,0.614447667776472,0.149198271869334,0.0184573520057456,0.0373203723409355,0.819770013268465,0.676896352055588,0.521642124051763,"Adult","Sex","Valid",65.47,"",-0.202697122238061,0.353995587433556,0.905530561332661,0.129656738196464,-0.0865211907152169,-0.0793908717034311,4,"-+pr1+eop2+-"
"di1","pr2","roc3","-",-0.0537450997861725,0.863625162772191,0.0944686069766543,0.093417521732272,0.131488884415174,0.777642636001769,0.533763945977686,0.811244979919679,"Adult","Sex","Valid",51.43,"",-0.202697122238061,0.353995587433556,0.905292589831126,0.129656738196464,-0.0865211907152169,-0.0793908717034311,47,"di1+pr2+roc3+-"
"-","egr_fp1","cpp2","-",-0.0211708047248707,0.868021746186303,0.149781409331666,0.0567981554572112,0.10484321411073,0.83735072976559,0.770365168539326,0.489513609995538,"Adult","Race","Valid",84.56,"",-0.104111483518271,0.603141919758867,0.778854585703619,0.129656738196464,0.023372121648678,0.0519524742773151,63,"-+egr_fp1+cpp2+-"
"-","pr1","cpp2","-",-0.0477616250691484,0.714384747857053,0.153418020788557,0.023108957837204,0.0627829495345419,0.83093763821318,0.745179063360882,0.482820169567158,"Adult","Race","Valid",28.37,"",-0.104111483518271,0.603141919758867,0.864287371446686,0.129656738196464,0.023372121648678,0.0519524742773151,67,"-+pr1+cpp2+-"
"rw1","-","cpp2","Naive Bayes",-0.165749955452602,0.498474837172188,0.110673974853365,-0.00347609434591804,0.0687546135189285,0.822423706324635,0.626949220311875,0.699687639446676,"Adult","Sex","Valid",0.2,"",-0.202697122238061,0.353995587433556,0.890221837584713,0.0924447180144809,-0.217251040530766,-0.216334493303807,52,"rw1+-+cpp2+Naive Bayes"
"rw1","-","cpp2","Naive Bayes",-0.0788019426637597,0.715904025058364,0.120193910993044,0.0166770988178493,0.07796913277805,0.814904909332154,0.617683686176837,0.663989290495315,"Adult","Race","Valid",0.25,"",-0.104111483518271,0.603141919758867,0.872564686695235,0.0924447180144809,-0.12270491851866,-0.132057814796668,52,"rw1+-+cpp2+Naive Bayes"
"di1","pr2","-","-",-0.132742995672123,0.47201405606896,0.11073727768437,-0.094613394720558,-0.126629103380696,0.849071207430341,0.707977207977208,0.665327978580991,"Adult","Race","Valid",50.62,"",-0.104111483518271,0.603141919758867,0.905070950993285,0.129656738196464,0.023372121648678,0.0519524742773151,54,"di1+pr2+-+-"
"-","gsr_eo1","roc2","-",-0.0377436742694227,0.905602126673441,0.0943128837166698,0.111459673364391,0.153341386020918,0.769570986289253,0.522396576319544,0.817045961624275,"Adult","Sex","Valid",32.89,"",-0.202697122238061,0.353995587433556,0.902567330750149,0.129656738196464,-0.0865211907152169,-0.0793908717034311,8,"-+gsr_eo1+roc2+-"
"rw1","gsr_eo2","roc3","-",-0.0377436742694227,0.905602126673441,0.0943128837166698,0.111459673364391,0.153341386020918,0.769570986289253,0.522396576319544,0.817045961624275,"Adult","Sex","Valid",32.91,"",-0.202697122238061,0.353995587433556,0.902567330750149,0.129656738196464,-0.0865211907152169,-0.0793908717034311,8,"rw1+gsr_eo2+roc3+-"
"-","-","eop1","Random Forest",-0.0867834550962224,0.639387550349485,0.145827626701495,0.00908443814514501,0.0161916539645106,0.811808934099956,0.640291514836023,0.548862115127175,"Adult","Sex","Valid",2.76,"",-0.202697122238061,0.353995587433556,0.895284668161269,0.121549505885241,-0.0775511014223577,-0.0673262201259671,13,"-+-+eop1+Random Forest"
"di1","-","-","Logistic Regression",-0.0118874263772738,0.919227792825162,0.163216567309998,0.0690573202322247,0.128838804507594,0.826072534276869,0.753799392097264,0.442659526996876,"Adult","Race","Valid",4.03,"",-0.104111483518271,0.603141919758867,0.871177590955719,0.129656738196464,0.023372121648678,0.0519524742773151,53,"di1+-+-+Logistic Regression"
"di1","gsr_eo2","roc3","-",-0.053713693870278,0.858952418162421,0.0959411710322124,0.0978480368237314,0.141492431432324,0.78516143299425,0.545343883140596,0.799643016510486,"Adult","Sex","Valid",37.77,"",-0.202697122238061,0.353995587433556,0.904277537740096,0.129656738196464,-0.0865211907152169,-0.0793908717034311,20,"di1+gsr_eo2+roc3+-"
