Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,egr_fp2,-,-,-0.061251667697113654,0.7104872571788917,0.1356775321223352,-0.0017418596177556159,0.011651151396374293,0.8313799203892083,0.6949891067538126,0.569388665774208,Adult,Race,Valid,{58.89},,-0.10411148351827143,0.6031419197588673,0.7781978027254296,0.13570907687782385,0.027484457792265368,0.05439000489955903,4,24.0,5.0
-,-,roc1,Random Forest,-0.03595758354755785,0.8968092954629288,0.09318958187979615,0.04804268187918552,0.07970112689857911,0.8039584254754534,0.5753380553766902,0.7974118697010263,Adult,Race,Valid,{24.45},,-0.10411148351827143,0.6031419197588673,0.8877057218699549,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,2,25.0,8.0
di1,pr2,eop3,-,-0.06537576063258599,0.6889153408431077,0.14261423342150645,-0.0032175943209599017,0.01820921117099461,0.8229765590446705,0.676017601760176,0.5484158857652833,Adult,Race,Valid,{55.54},,-0.10411148351827143,0.6031419197588673,0.8985829807216192,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,26.0,37.0
rw1,-,roc2,Naive Bayes,-0.03730557092187042,0.9026049188684054,0.08827638338361614,0.040782433811705016,0.06344439000489954,0.7868199911543565,0.5458004097161252,0.8322177599286033,Adult,Race,Valid,{21.21},,-0.10411148351827143,0.6031419197588673,0.8928159106119219,0.09777133936127072,-0.10404227620990618,-0.1060901518863302,4,26.0,45.0
-,-,roc1,Naive Bayes,-0.03503180827177771,0.9076110276764642,0.08826365202433856,0.04527562894038045,0.07089416952474281,0.7894736842105263,0.5497784342688331,0.8304328424810352,Adult,Race,Valid,{21.79},,-0.10411148351827143,0.6031419197588673,0.8927746525980118,0.09777133936127072,-0.10404227620990618,-0.1060901518863302,4,28.0,54.0
di1,-,eop2,Random Forest,-0.07861076762877878,0.6777704045564285,0.12523962517026724,-0.016523173734376548,-0.004203821656050932,0.8283945157010173,0.6635026103464642,0.6238286479250335,Adult,Race,Valid,{7.13},,-0.10411148351827143,0.6031419197588673,0.8829068048370659,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,3,29.0,7.0
rw1,-,-,Random Forest,-0.09963676743353617,0.578709755090809,0.1184666013951212,-0.03655169595071546,-0.02694267515923565,0.8440955329500222,0.706408345752608,0.6345381526104418,Adult,Race,Valid,{3.13},,-0.10411148351827143,0.6031419197588673,0.8869438588626969,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,2,30.0,2.0
di1,gsr_eo2,cpp3,-,-0.07622148644691026,0.6599752496806411,0.13042987464364955,0.001823290319870715,0.040583047525722726,0.8325961963732862,0.6882444329363024,0.5930388219544847,Adult,Race,Valid,{26.78},,-0.10411148351827143,0.6031419197588673,0.8740264272993454,0.13570907687782385,0.027484457792265368,0.05439000489955903,4,31.0,59.0
rw1,-,-,Naive Bayes,-0.11406926230841821,0.6388038824747685,0.1006098614661988,-0.03669616696121876,-0.012672709456148956,0.822313135780628,0.6168879056047197,0.7465417224453369,Adult,Race,Valid,{0.16},,-0.10411148351827143,0.6031419197588673,0.8928159106119219,0.09777133936127072,-0.10404227620990618,-0.1060901518863302,2,32.0,33.0
-,pr1,eop2,-,-0.0942402959686002,0.6052551790075575,0.14323371242612123,-0.003690904510031491,0.00032560032560025043,0.8181114551083591,0.6585106382978724,0.5524319500223115,Adult,Sex,Valid,{40.19},,-0.19225202893340865,0.3813350053052956,0.8993101450176553,0.13570907687782385,-0.09005812493043372,-0.097028897028897,3,33.0,35.0
