,Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Score,Rank,Ovr_Rank,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Orig AUC
491,-,mfc_sr,eop,-,0.04585829374096262,1.3148936170212766,1.2072888297497704,0.009169260924708857,0.009863945578231292,0.6066666666666667,0.5507894736842106,0.6066666666666667,German,Sex,Fail,{1.33},0.3076983013869409,0.8944854537559705,-0.07529436066928319,3,101.0,43.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
492,rw,pr,eop,-,0.022731970565934845,1.114296497804338,0.08968957547704108,0.2364076016564353,0.3549415515409139,0.8313066548750829,0.8247319950103437,0.8313066548750829,Adult,Sex,Valid,{135.49},0.7487934567542986,0.3814418466548813,-0.19071534151302644,3,101.0,50.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
493,di,pr,eop,-,0.0012875971180793153,5.9907264296754255,0.3026060603225041,0.0038796612929490313,0.007759322585898063,0.8083130665487508,0.7969560710700371,0.8083130665487508,Adult,Race,Valid,{107.52},0.6957921857046684,0.6450688571279718,-0.0977983644446146,3,103.0,55.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
494,di,-,eop,Random Forest,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.6461372231226364,0.6464068489382984,0.6461372231226364,Compas,Sex,Valid,{12.38},0.6445499132484522,0.8789515683506229,-0.07197474314287278,3,104.0,22.0,0.23007071998199616,-0.188947186246864,-0.17113812544045104,0.650850669947339
495,di,-,eop,Naive Bayes,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.498109130199892,0.5971976946862483,0.498109130199892,Compas,Sex,Fail,{15.66},0.5287559663699819,0.8789515683506229,-0.07197474314287278,3,105.0,37.0,0.7109277576870648,0.004545899772701533,0.0048390885600188005,0.5086146986939131
496,di,pr,eop,-,0.04585829374096262,1.3148936170212766,1.2072888297497704,0.009169260924708857,0.009863945578231292,0.5866666666666667,0.5570642201834862,0.5866666666666667,German,Sex,Fail,{9.35},0.3006856786660433,0.8944854537559705,-0.07529436066928319,3,105.0,55.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
497,rw,-,eop,Random Forest,0.010016712290063512,1.0488635772611432,0.09876221285373643,0.24359288714117905,0.3741223671013039,0.8299801017024099,0.8240935546354728,0.8299801017024099,Adult,Sex,Valid,{2.79},0.7563175802997202,0.350937871084518,-0.2125870376244204,3,107.0,19.0,0.11692392488046607,-0.08271247215181926,-0.08204055444092516,0.779581028062683
498,rw,-,cpp,Logistic Regression,-0.208666377305154,0.36673387982017946,0.0,0.0,0.0,0.8107450806986514,0.8009360016972449,0.8107450806986514,Adult,Sex,Valid,{1.13},0.7184563248819352,0.36673387982017946,-0.208666377305154,3,108.0,10.0,0.1317133019031189,-0.17054753774558773,-0.2124908764389769,0.7521652371824058
499,di,-,eop,Random Forest,0.015301097174043515,1.0701338349574443,0.08931936611540257,0.2295630323146293,0.3286573146292585,0.8271059031616184,0.8218593434685347,0.8271059031616184,Adult,Sex,Valid,{8.8},0.7565150229033318,0.3645113919298653,-0.20651827771214407,3,108.0,22.0,0.11692392488046607,-0.08271247215181926,-0.08204055444092516,0.779581028062683
500,rw,mfc_fdr,eop,-,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.5148568341437061,0.4277203180575632,0.5148568341437061,Compas,Sex,Fail,{396.26},0.4821102812910133,0.8789515683506229,-0.07197474314287278,3,109.0,36.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
501,rw,mfc_fdr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.61,0.558716814159292,0.61,German,Age,Fail,{1.92},0.28915381019167835,0.7071887784921099,-0.2141635793673411,3,109.0,36.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
502,-,mfc_fdr,eop,-,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.5148568341437061,0.4277203180575632,0.5148568341437061,Compas,Sex,Fail,{315.86},0.4821102812910133,0.8789515683506229,-0.07197474314287278,3,109.0,38.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
503,-,mfc_fdr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.61,0.558716814159292,0.61,German,Age,Fail,{1.32},0.28915381019167835,0.7071887784921099,-0.2141635793673411,3,109.0,38.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
504,rw,mfc_sr,eop,-,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.5148568341437061,0.4277203180575632,0.5148568341437061,Compas,Sex,Fail,{472.14},0.4821102812910133,0.8789515683506229,-0.07197474314287278,3,109.0,39.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
505,rw,mfc_sr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.61,0.558716814159292,0.61,German,Age,Fail,{2.04},0.28915381019167835,0.7071887784921099,-0.2141635793673411,3,109.0,39.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
506,-,mfc_sr,eop,-,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.5148568341437061,0.4277203180575632,0.5148568341437061,Compas,Sex,Fail,{484.34},0.4821102812910133,0.8789515683506229,-0.07197474314287278,3,109.0,43.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
507,-,mfc_sr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.61,0.558716814159292,0.61,German,Age,Fail,{1.71},0.28915381019167835,0.7071887784921099,-0.2141635793673411,3,109.0,43.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
508,rw,pr,eop,-,-0.0008103727714748784,0.5,0.7677123905892422,-0.0005110630110630108,-0.001022126022126022,0.3257698541329012,0.32922345781574325,0.3257698541329012,Compas,Race,Fail,{88.0},0.32848902047054795,0.8148148148148148,-0.11345218800648305,3,109.0,50.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
509,-,pr,eop,-,-0.0008103727714748784,0.5,0.7677123905892422,-0.0005110630110630108,-0.001022126022126022,0.3257698541329012,0.32922345781574325,0.3257698541329012,Compas,Race,Fail,{96.08},0.32848902047054795,0.8148148148148148,-0.11345218800648305,3,109.0,51.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
510,di,-,eop,Logistic Regression,0.14421002353270113,1.5515175007128603,0.044011476937370515,-0.2550694957362519,-0.9905660377358492,0.8321910236568649,0.8253146280047678,0.8321910236568649,Adult,Race,Valid,{5.96},0.7481714892409099,0.6068666238950671,-0.10279596449125096,1,113.0,26.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
511,-,mfc_sr,cpp,-,-0.1155593167792939,0.5766071099650028,0.0013274338232390332,-0.029411764705882363,-0.058823529411764726,0.8255582577934999,0.8173440114906042,0.8255582577934999,Adult,Race,Valid,{64.21},0.7159624879875401,0.6126450543378155,-0.10572325120552342,2,113.0,31.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
512,di,mfc_fdr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.6133333333333333,0.554410480349345,0.6133333333333333,German,Age,Fail,{2.02},0.2974910394265233,0.7071887784921099,-0.2141635793673411,3,113.0,48.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
513,di,mfc_sr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.6133333333333333,0.554410480349345,0.6133333333333333,German,Age,Fail,{1.53},0.2974910394265233,0.7071887784921099,-0.2141635793673411,3,113.0,49.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
514,rw,-,eop,Logistic Regression,0.01394656695242763,1.0636104579005814,0.07704490609547378,0.2079637622337933,0.2948583420776495,0.8255582577934999,0.8166171787864722,0.8255582577934999,Adult,Sex,Valid,{0.46},0.7314012696218531,0.4102919522063745,-0.18335783672017134,3,115.0,21.0,0.1317133019031189,-0.17054753774558773,-0.2124908764389769,0.7521652371824058
