Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,-,cpp2,Logistic Regression,-0.043029132878534354,0.7654081871345029,0.14559181871465732,-0.02850669562160877,-0.06996457259430611,-0.0903265113485219,0.6532872200263504,0.8322644847412649,0.7256857855361596,0.5194109772423026,0.8718452951728844,Adult,Race,Valid,{0.87},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,50.0,33.0
-,pr1,roc2,-,-0.034228944279730555,0.9038307116456071,0.10125795964567877,0.11918241289524116,0.16300614237389865,-0.20725659581805944,0.34286072064763046,0.7902476780185759,0.5551635663887107,0.7724230254350736,0.9019889642355989,Adult,Sex,Valid,{63.04},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,2,51.0,13.0
rw1,pr2,roc3,-,-0.034228944279730555,0.9038307116456071,0.10125795964567877,0.11918241289524116,0.16300614237389865,-0.20725659581805944,0.34286072064763046,0.7902476780185759,0.5551635663887107,0.7724230254350736,0.9019889642355989,Adult,Sex,Valid,{63.66},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,2,51.0,13.0
di1,pr2,roc3,-,-0.03273684034866192,0.9050008071025021,0.10394539053440252,0.12353517459923546,0.1728655821554741,-0.20725659581805944,0.34286072064763046,0.7937859354268023,0.562251655629139,0.7576974564926372,0.9013433320719795,Adult,Sex,Valid,{57.62},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,2,53.0,23.0
-,-,cpp1,Random Forest,-0.06429141459647317,0.6834727503168567,0.14238464687710461,-0.0034505157026518476,0.02630644250560099,-0.0903265113485219,0.6532872200263504,0.8272888102609465,0.6934472934472935,0.5430611334225792,0.8634612600695954,Adult,Race,Valid,{3.13},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,3,54.0,59.0
rw1,-,roc2,Logistic Regression,0.01982065473891964,1.0475267489711935,0.08947271343030115,0.08168867010116479,0.09753920693612128,-0.0903265113485219,0.6532872200263504,0.7523219814241486,0.5001316829075586,0.8473895582329317,0.8774728489143993,Adult,Race,Valid,{18.89},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,55.0,25.0
-,gsr_eo1,cpp2,-,-0.08066589436649932,0.614579745797458,0.1289138923466865,-0.06218857322920299,-0.10539425511375022,-0.0903265113485219,0.6532872200263504,0.8435426802299867,0.7307262569832402,0.5836680053547524,0.8975259490933829,Adult,Race,Valid,{18.58},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,56.0,42.0
di1,pr2,eop3,-,-0.08590856246488626,0.6676020446596718,0.14183705688370762,0.01576249401380396,0.024851659876239163,-0.20725659581805944,0.34286072064763046,0.806390977443609,0.6175623800383877,0.5742971887550201,0.9013433320719795,Adult,Sex,Valid,{39.46},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,57.0,38.0
rw1,gsr_eo2,eop3,-,-0.08694898566525563,0.6333099524954547,0.1412613911293396,0.01915729393052862,0.03209659478273341,-0.20725659581805944,0.34286072064763046,0.8203228659885007,0.663135593220339,0.5586791610887997,0.899614103104236,Adult,Sex,Valid,{19.68},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,58.0,7.0
-,pr1,-,-,-0.09757926803106363,0.5449619847939176,0.12530061535858533,-0.07723880258051771,-0.11922824720861191,-0.0903265113485219,0.6532872200263504,0.8469703670942061,0.7360881542699724,0.5961624274877287,0.8986012155830929,Adult,Race,Valid,{62.27},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,59.0,45.0
rw1,pr2,-,-,-0.09757926803106363,0.5449619847939176,0.12530061535858533,-0.07723880258051771,-0.11922824720861191,-0.0903265113485219,0.6532872200263504,0.8469703670942061,0.7360881542699724,0.5961624274877287,0.8986012155830929,Adult,Race,Valid,{61.94},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,59.0,45.0
rw1,gsr_eo2,cpp3,-,-0.08002231089372291,0.6164754266913428,0.1297026255427505,-0.060793391992382526,-0.10242982823627989,-0.0903265113485219,0.6532872200263504,0.8427686864219371,0.7294117647058823,0.5809906291834003,0.8966483471901883,Adult,Race,Valid,{19.28},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,61.0,40.0
rw1,-,-,Logistic Regression,0.015794396533230365,1.0861099415204678,0.14211595422564316,0.07653673037126538,0.1051506347789658,-0.0903265113485219,0.6532872200263504,0.832375055285272,0.7159023228111971,0.5363676929941991,0.8774728489143993,Adult,Race,Valid,{0.37},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,62.0,12.0
rw1,-,-,Random Forest,-0.09148667782211353,0.5986674195369848,0.1255059118403167,-0.054983797467639525,-0.07133977523178081,-0.0903265113485219,0.6532872200263504,0.8385670057496682,0.7007712082262211,0.608210620258813,0.884708186134382,Adult,Race,Valid,{2.8},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,3,63.0,11.0
rw1,-,cpp2,Naive Bayes,-0.10515467456129057,0.6481711168532874,0.10756036684359002,-0.05274814004589126,-0.05116482395584776,-0.0903265113485219,0.6532872200263504,0.8222025652366209,0.6231996885947839,0.714413208389112,0.8881541485982474,Adult,Race,Valid,{0.74},,0.09589955493126144,-0.1301747889714491,-0.159339083076811,3,64.0,43.0
di1,egr_fp2,eop3,-,-0.053348779336679975,0.7638366571699905,0.13234841090165292,-0.03190671020128756,-0.06836624105207556,-0.0903265113485219,0.6532872200263504,0.8270676691729323,0.6713924050632911,0.5917001338688086,0.7862452472112632,Adult,Race,Valid,{83.28},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,65.0,34.0
di1,gsr_eo2,eop3,-,-0.07892575637053395,0.6765477072481278,0.14210873840687333,0.026872609046158596,0.0404734488304046,-0.20725659581805944,0.34286072064763046,0.8134674922600619,0.6403242147923,0.5640339134315038,0.8992709859806056,Adult,Sex,Valid,{21.56},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,66.0,29.0
