Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
di1,pr2,roc3,-,47.0,-0.049649655021909544,0.855329128713086,0.09930898572313726,0.12075094280252026,0.20111729093862285,-0.19183395271994255,0.36778924190238754,0.8009730207872623,0.5637470409198512,0.7657326596233348,0.9041873020287892,Adult,Sex,Valid,{58.94},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,2,67.75,63.0,47.0
di1,-,cpp2,Logistic Regression,48.0,-0.05499247697624046,0.725248853826773,0.12964660850768672,-0.024500023907122484,-0.052288776533511605,-0.09858343942725817,0.6122252211238293,0.8415524104378593,0.7135476463834672,0.5709692237023427,0.878801701118415,Adult,Race,Valid,{4.1},,0.14447517109738128,0.03280595796506555,0.05440414507772018,4,55.25,76.5,48.0
di1,-,-,Logistic Regression,49.0,-0.027573122137530798,0.8622403039940523,0.1284364421871758,0.02343362317731816,0.02543143072037446,-0.09858343942725817,0.6122252211238293,0.8411101282618311,0.7083333333333334,0.577859439595774,0.8808109377068427,Adult,Race,Valid,{3.71},,0.14447517109738128,0.03280595796506555,0.05440414507772018,4,54.75,78.0,49.0
di1,-,-,Random Forest,50.0,-0.1285126734015641,0.4962767939599164,0.11808267809949527,-0.10314257063341059,-0.14329663212435229,-0.09858343942725817,0.6122252211238293,0.8316010614772225,0.6522346368715084,0.6435461644464859,0.8892151548761732,Adult,Race,Valid,{6.1},,0.11856169658215927,-0.09110541008605805,-0.13134088250041787,2,59.5,74.0,50.0
-,-,-,Naive Bayes,51.0,-0.17359914683950334,0.496181576074569,0.09102549774306413,-0.14146830950762174,-0.18317785809794418,-0.09858343942725817,0.6122252211238293,0.8182220256523662,0.5918648741813168,0.7887000459347726,0.8981789575127768,Adult,Race,Valid,{0.19},,0.09102549774306413,-0.14146830950762174,-0.18317785809794418,1,65.0,69.0,51.0
-,pr1,eop2,-,52.0,-0.07334990846012049,0.6495440401909314,0.14623922058756694,0.06158353218830874,0.13328083214385322,-0.19183395271994255,0.36778924190238754,0.8229765590446705,0.6718377088305489,0.5172255397335783,0.9043759376175418,Adult,Sex,Valid,{62.28},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,1,63.5,71.5,52.0
di1,-,eop2,Logistic Regression,53.0,-0.05763876258659745,0.7245481302965056,0.13158911683667796,-0.04356433722151814,-0.09460659368209928,-0.09858343942725817,0.6122252211238293,0.8339230429013711,0.685337726523888,0.5732659623334865,0.8808109377068427,Adult,Race,Valid,{3.87},,0.14447517109738128,0.03280595796506555,0.05440414507772018,2,61.5,74.5,53.0
-,-,-,Naive Bayes,54.0,-0.31178089053554925,0.2624134159775016,0.09102549774306413,-0.18415987197047362,-0.15812373874095587,-0.19183395271994255,0.36778924190238754,0.8182220256523662,0.5918648741813168,0.7887000459347726,0.8981789575127768,Adult,Sex,Valid,{0.18},,0.09102549774306413,-0.18415987197047362,-0.15812373874095587,1,65.0,72.5,54.0
rw1,-,roc2,Logistic Regression,54.0,-0.07093591375803976,0.852652682734165,0.0820732041296855,-0.00045983474374430844,0.023812259735918495,-0.09858343942725817,0.6122252211238293,0.7161654135338346,0.4542897327707454,0.8902158934313276,0.8628795864786812,Adult,Race,Fail,{20.71},,0.14447517109738128,0.03280595796506555,0.05440414507772018,4,97.5,40.0,54.0
di1,-,-,Naive Bayes,56.0,-0.18844595823481755,0.5486088833442246,0.07958104808809666,-0.12071938304815974,-0.1106807830519807,-0.09858343942725817,0.6122252211238293,0.7853825740822645,0.5333145115753811,0.8677078548461186,0.8974282280047726,Adult,Race,Valid,{3.59},,0.09102549774306413,-0.14146830950762174,-0.18317785809794418,4,74.75,63.0,56.0
di1,egr_fp2,roc3,-,56.0,-0.05150336469304412,0.7494187917303514,0.12317752101603212,-0.015538083053641821,-0.03870079809460136,-0.09858343942725817,0.6122252211238293,0.8471915081822202,0.7214484679665738,0.594855305466238,0.7893386309163428,Adult,Race,Valid,{90.45},,0.14447517109738128,0.03280595796506555,0.05440414507772018,4,57.75,80.0,56.0
rw1,-,cpp2,Naive Bayes,56.0,-0.1320624921281482,0.5604896721793122,0.11427888982382842,0.041690180745115143,0.14174828960968644,-0.19183395271994255,0.36778924190238754,0.8248562582927909,0.6274172754619682,0.6706476802939826,0.8845646521389169,Adult,Sex,Valid,{0.76},,0.09102549774306413,-0.18415987197047362,-0.15812373874095587,3,70.75,67.0,56.0
rw1,pr2,eop3,-,59.0,-0.07334990846012049,0.6495440401909314,0.1473751284100929,0.053787394884834396,0.11564043247854827,-0.19183395271994255,0.36778924190238754,0.8214285714285714,0.6676610978520287,0.5140101056499771,0.9043759376175418,Adult,Sex,Valid,{62.55},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,1,67.0,71.5,59.0
-,egr_fp1,roc2,-,60.0,-0.05370984276053639,0.7099296796517467,0.12926570161176015,-0.029312078466245724,-0.06660277034932305,-0.09858343942725817,0.6122252211238293,0.8501769128704113,0.7555970149253731,0.5581074873679376,0.7473662424840926,Adult,Race,Valid,{73.72},,0.14447517109738128,0.03280595796506555,0.05440414507772018,3,55.75,83.0,60.0
rw1,-,roc2,Random Forest,60.0,-0.05392106611993852,0.8476466328747284,0.09070595930660076,0.036484303844794605,0.08244191876984797,-0.09858343942725817,0.6122252211238293,0.800641309155241,0.5596681557115507,0.8056959118052366,0.8876475730660219,Adult,Race,Valid,{23.19},,0.11856169658215927,-0.09110541008605805,-0.13134088250041787,4,79.25,59.5,60.0
rw1,egr_fp2,roc3,-,60.0,-0.05370984276053639,0.7099296796517467,0.12926570161176015,-0.029312078466245724,-0.06660277034932305,-0.09858343942725817,0.6122252211238293,0.8501769128704113,0.7555970149253731,0.5581074873679376,0.7473662424840926,Adult,Race,Valid,{77.52},,0.14447517109738128,0.03280595796506555,0.05440414507772018,3,55.75,83.0,60.0
