Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,gsr_eo1,eop2,-,20.0,-0.06593871009729588,0.6917048289922104,0.12337454038681661,-0.02828788203538067,-0.05499510044096023,0.8474126492702344,0.7325769854132901,0.6050870147255689,Adult,Race,Valid,{19.32},,-0.10411148351827143,0.6031419197588673,0.905094105331775,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,35.0,82.5,20.0
-,pr1,cpp2,-,22.0,-0.09645634701116138,0.5549048755949968,0.12291154238921058,-0.05321575052797753,-0.07146496815286618,0.8488500663423264,0.7377584330794341,0.6050870147255689,Adult,Race,Valid,{61.87},,-0.10411148351827143,0.6031419197588673,0.9032623544630118,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,37.5,80.5,22.0
rw1,-,cpp2,Naive Bayes,22.0,-0.12962399531417787,0.5962871563073243,0.09635569584310762,-0.06268395196923543,-0.056780989710926044,0.8267359575409111,0.622992700729927,0.7617135207496654,Adult,Race,Valid,{0.2},,-0.10411148351827143,0.6031419197588673,0.8975102723599577,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,3,63.5,54.5,22.0
di1,gsr_eo2,eop3,-,24.0,-0.07334979336826009,0.6987004263964818,0.11456833126658629,-0.02424711051896969,-0.038010779029887365,0.8434321096859797,0.6955903271692745,0.6546184738955824,Adult,Race,Valid,{29.51},,-0.10411148351827143,0.6031419197588673,0.9043379489178562,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,43.75,75.5,24.0
di1,-,-,Random Forest,25.0,-0.2098721594843393,0.3019594476329099,0.11645340753424341,-0.1000572823299361,-0.10021232590732099,0.8416629809818664,0.6930787589498807,0.6479250334672021,Adult,Sex,Valid,{7.16},,-0.20787328732596289,0.34247480246555784,0.895679669369165,0.11875671832303863,-0.08300116744310194,-0.07680468929534334,2,50.75,71.0,25.0
di1,pr2,eop3,-,26.0,-0.07510046858221339,0.6897070389964842,0.11704450625003028,-0.030920934007979906,-0.0506614404703577,0.8408889871738169,0.6914995224450812,0.6461401160196341,Adult,Race,Valid,{46.16},,-0.10411148351827143,0.6031419197588673,0.9048033970366252,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,46.5,76.0,26.0
-,-,-,Random Forest,27.0,-0.19652108498807344,0.3167909588329863,0.11875671832303863,-0.08300116744310194,-0.07680468929534334,0.8434321096859797,0.7045116509667824,0.6340919232485498,Adult,Sex,Valid,{2.91},,-0.20787328732596289,0.34247480246555784,0.8923228478288348,0.11875671832303863,-0.08300116744310194,-0.07680468929534334,2,53.0,71.5,27.0
-,pr1,roc2,-,28.0,-0.0682047443949107,0.832343471913932,0.07817236751206066,0.018250987934467014,0.04885840274375308,0.7888102609464839,0.5460617868076816,0.8755020080321285,Adult,Race,Valid,{78.25},,-0.10411148351827143,0.6031419197588673,0.9055474843335974,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,65.0,62.0,28.0
rw1,pr2,roc3,-,28.0,-0.0682047443949107,0.832343471913932,0.07817236751206066,0.018250987934467014,0.04885840274375308,0.7888102609464839,0.5460617868076816,0.8755020080321285,Adult,Race,Valid,{81.02},,-0.10411148351827143,0.6031419197588673,0.9055474843335974,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,65.0,62.0,28.0
di1,gsr_eo2,roc3,-,30.0,-0.08065878103543656,0.7927591425179338,0.08178324129297311,0.009124955898804563,0.04541646251837339,0.7973241928350288,0.5596840257460504,0.8536367692994199,Adult,Race,Valid,{49.42},,-0.10411148351827143,0.6031419197588673,0.9043379489178562,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,68.25,59.0,30.0
