Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,pr2,eop3,-,-0.0471085120207928,0.9399088271860754,0.14045940315040356,0.03130089245000328,-0.07282913165266103,0.745,0.6,0.45,German,Age,Valid,{2.76},,-0.18193632228719947,0.7523219814241486,0.795,0.10724764942448914,-0.1792065663474692,-0.05882352941176472,2,75.0,12.0
-,-,cpp1,Naive Bayes,0.04862085086489021,1.0753896339253355,0.199668223398576,0.11526315789473685,0.020000000000000018,0.74,0.5588235294117647,0.6333333333333333,German,Sex,Valid,{0.01},,-0.07947639083683966,0.8903225806451612,0.7725,0.2100372780668246,-0.058600478468899556,-0.05500000000000005,3,76.0,65.0
di1,-,roc2,Logistic Regression,0.04114071996259927,1.08110599078341,0.2914340970916358,0.07718899521531099,0.08499999999999996,0.71,0.5104166666666666,0.8166666666666667,German,Sex,Valid,{2.03},,-0.07947639083683966,0.8903225806451612,0.8315476190476191,0.10724764942448914,-0.14406698564593304,-0.08000000000000007,2,77.0,42.0
-,egr_fp1,eop2,-,-0.07456755493221123,0.9029214850882533,0.14833974842282788,-0.06361244019138754,-0.010000000000000009,0.755,0.6078431372549019,0.5166666666666667,German,Sex,Valid,{2.41},,-0.07947639083683966,0.8903225806451612,0.7217261904761905,0.10724764942448914,-0.14406698564593304,-0.08000000000000007,3,78.0,24.0
di1,-,roc2,Naive Bayes,-0.0016362786348760872,0.9966297544535389,0.32154066470341647,0.02173444976076558,0.06500000000000006,0.695,0.49514563106796117,0.85,German,Sex,Fail,{2.01},,-0.07947639083683966,0.8903225806451612,0.7760714285714287,0.2100372780668246,-0.058600478468899556,-0.05500000000000005,2,79.0,59.0
rw1,-,eop2,Naive Bayes,-0.07316503038803168,0.8852639296187685,0.21761265708933766,-0.03087320574162683,-0.04500000000000004,0.745,0.5584415584415584,0.7166666666666667,German,Sex,Valid,{0.01},,-0.07947639083683966,0.8903225806451612,0.7766666666666667,0.2100372780668246,-0.058600478468899556,-0.05500000000000005,4,79.0,54.0
-,-,roc1,Logistic Regression,0.04114071996259927,1.08110599078341,0.2914340970916358,0.07718899521531099,0.08499999999999996,0.71,0.5104166666666666,0.8166666666666667,German,Sex,Valid,{1.99},,-0.07947639083683966,0.8903225806451612,0.8286904761904762,0.10724764942448914,-0.14406698564593304,-0.08000000000000007,2,81.0,21.0
-,egr_fp1,roc2,-,-0.03053931124106568,0.9519672968829841,0.23654099361245684,0.04266823008273071,0.022408963585434094,0.71,0.5135135135135135,0.6333333333333333,German,Age,Valid,{4.39},,-0.18193632228719947,0.7523219814241486,0.7217261904761905,0.10724764942448914,-0.1792065663474692,-0.05882352941176472,3,81.0,22.0
rw1,egr_fp2,roc3,-,-0.03053931124106568,0.9519672968829841,0.23654099361245684,0.04266823008273071,0.022408963585434094,0.71,0.5135135135135135,0.6333333333333333,German,Age,Valid,{4.4},,-0.18193632228719947,0.7523219814241486,0.7217261904761905,0.10724764942448914,-0.1792065663474692,-0.05882352941176472,3,81.0,22.0
di1,-,eop2,Random Forest,-0.1413255360623782,0.8340961098398169,0.0917014455795111,-0.07221027946062147,-0.09243697478991597,0.785,0.7428571428571429,0.43333333333333335,German,Age,Valid,{0.21},,-0.18193632228719947,0.7523219814241486,0.808452380952381,0.07321752076457921,-0.03494886326623675,-0.0056022408963586345,1,84.0,41.0
