Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,pr2,roc3,-,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{207.39},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,3,22.0,4.0
rw1,-,cpp2,Logistic Regression,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{0.9},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,3,22.0,4.0
rw1,-,cpp2,Naive Bayes,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{0.25},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,3,22.0,1.0
rw1,-,cpp2,Random Forest,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{3.16},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,3,22.0,4.0
rw1,-,roc2,Logistic Regression,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{36.09},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,3,22.0,4.0
rw1,-,roc2,Naive Bayes,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{36.6},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,3,22.0,4.0
rw1,-,roc2,Random Forest,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{45.41},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,3,22.0,4.0
rw1,pr2,roc3,-,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{168.14},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,3,22.0,4.0
rw1,-,eop2,Random Forest,-0.0708952229382756,0.7294941882924482,0.002468669696363832,0.012846131886954049,-0.021505376344086002,0.994250331711632,0.9943496516458789,0.994250331711632,Adult,Race,Valid,{3.36},,1.0,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,4,43.0,22.0
-,pr1,eop2,-,-0.06840145735224071,0.7390093298788714,0.002593674871548902,0.014321058140641364,-0.021505376344086002,0.9939186200796107,0.9940313813294454,0.9939186200796107,Adult,Race,Valid,{119.56},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,4,44.0,34.0
